Player,Pos,Age,Tm,G,TRB,AST,STL,BLK,TOV,PTS,ALL-STAR
Terence Davis\daviste02,SG,22,TOR,72,3.3,1.6,0.5,0.2,1.1,7.5,0
Dewayne Dedmon\dedmode01,C,30,TOT,44,5.7,0.5,0.6,0.9,1.3,5.8,0
Dewayne Dedmon\dedmode01,C,30,SAC,34,4.9,0.4,0.4,0.8,1.4,5.1,0
Dewayne Dedmon\dedmode01,C,30,ATL,10,8.2,0.7,1,1.5,1,8.1,0
Matthew Dellavedova\dellama01,PG,29,CLE,57,1.3,3.2,0.4,0,1,3.1,0
DeMar DeRozan\derozde01,SF,30,SAS,68,5.5,5.6,1,0.3,2.4,22.1,0
Cheick Diallo\diallch01,C,23,PHO,47,2.8,0.5,0.2,0.3,0.7,4.7,0
Hamidou Diallo\diallha01,SF,21,OKC,46,3.6,0.8,0.8,0.2,1.1,6.9,0
Gorgui Dieng\dienggo01,C,30,TOT,63,5.6,1.2,0.8,0.9,1,7.4,0
Gorgui Dieng\dienggo01,C,30,MIN,46,5.6,1.3,0.8,0.9,1,7.4,0
Gorgui Dieng\dienggo01,C,30,MEM,17,5.8,0.9,0.8,1,0.9,7.2,0
Spencer Dinwiddie\dinwisp01,PG,26,BRK,64,3.5,6.8,0.6,0.3,2.7,20.6,0
Donte DiVincenzo\divindo01,SG,23,MIL,66,4.8,2.3,1.3,0.3,1.4,9.2,0
Luka Doncic\doncilu01,PG,20,DAL,61,9.4,8.8,1,0.2,4.3,28.8,1
Luguentz Dort\dortlu01,SF,20,OKC,36,2.3,0.8,0.9,0.1,0.6,6.8,0
Damyean Dotson\dotsoda01,SG,25,NYK,48,1.9,1.2,0.5,0.1,0.4,6.7,0
Sekou Doumbouya\doumbse01,PF,19,DET,38,3.1,0.5,0.5,0.2,0.9,6.4,0
PJ Dozier\doziepj01,SG,23,DEN,29,1.9,2.2,0.5,0.2,0.9,5.8,0
Goran Dragic\dragigo01,PG,33,MIA,59,3.2,5.1,0.7,0.2,2.4,16.2,0
